data_broker,prompting_strategy,file_path,task_completion,incomplete_bool,group_incomplete,blocked_bool,group_blocked
tunnldata.com,obstruction_zero_shot_regulator_role,../browser_history_output/tunnldata.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-022343,,False,False,False,False
truepeoplesearch.com,obstruction_zero_shot_regulator_role,../browser_history_output/truepeoplesearch.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-015554,,False,False,False,False
uspeoplesearch.com,obstruction_zero_shot_regulator_role,../browser_history_output/uspeoplesearch.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-043042,Complete,False,False,False,False
terminus.com,obstruction_zero_shot_regulator_role,../browser_history_output/terminus.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-213438,,False,False,False,False
start.io,obstruction_zero_shot_regulator_role,../browser_history_output/start.io/obstruction_zero_shot_regulator_role/gpt-5/20251114-180626,,False,False,False,False
vendelux.com,obstruction_zero_shot_regulator_role,../browser_history_output/vendelux.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-051156,Complete,False,False,False,False
truthfinder.com,obstruction_zero_shot_regulator_role,../browser_history_output/truthfinder.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-020306,,False,False,False,False
statsocial.com,obstruction_zero_shot_regulator_role,../browser_history_output/statsocial.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-190944,Complete,False,False,False,False
venpath.net,obstruction_zero_shot_regulator_role,../browser_history_output/venpath.net/obstruction_zero_shot_regulator_role/gpt-5/20251115-055146,Complete,False,False,False,False
targetsmart.com,obstruction_zero_shot_regulator_role,../browser_history_output/targetsmart.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-204306,,False,False,True,True
thinkdatagroup.com,obstruction_zero_shot_regulator_role,../browser_history_output/thinkdatagroup.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-232223,,False,False,False,False
stackadapt.com,obstruction_zero_shot_regulator_role,../browser_history_output/stackadapt.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-173753,,False,False,False,False
thedatagroup.com,obstruction_zero_shot_regulator_role,../browser_history_output/thedatagroup.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-222320,,False,False,False,False
trueblueanalytics.org,obstruction_zero_shot_regulator_role,../browser_history_output/trueblueanalytics.org/obstruction_zero_shot_regulator_role/gpt-5/20251115-011048,,False,False,False,False
thomsonreuters.com,obstruction_zero_shot_regulator_role,../browser_history_output/thomsonreuters.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-234211,,False,False,False,False
transunion.com,obstruction_zero_shot_regulator_role,../browser_history_output/transunion.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-001002,,False,False,False,False
stirista.com,obstruction_zero_shot_regulator_role,../browser_history_output/stirista.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-195308,,False,False,False,False
steppingblocks.com,obstruction_zero_shot_regulator_role,../browser_history_output/steppingblocks.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-193405,Complete,False,False,False,False
theworknumber.com,obstruction_zero_shot_regulator_role,../browser_history_output/theworknumber.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-230235,,False,False,False,False
t-mobile.com,obstruction_zero_shot_regulator_role,../browser_history_output/t-mobile.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-201433,Incomplete,True,True,False,False
spyfly.com,obstruction_zero_shot_regulator_role,../browser_history_output/spyfly.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-173048,,False,False,False,False
throtle.io,obstruction_zero_shot_regulator_role,../browser_history_output/throtle.io/obstruction_zero_shot_regulator_role/gpt-5/20251114-235730,,False,False,False,False
swoop.com,obstruction_zero_shot_regulator_role,../browser_history_output/swoop.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-200529,Complete,False,False,False,False
unearthcampaigns.com,obstruction_zero_shot_regulator_role,../browser_history_output/unearthcampaigns.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-025457,Complete,False,False,False,False
venntel.com,obstruction_zero_shot_regulator_role,../browser_history_output/venntel.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-054527,Complete,False,False,False,False
thebridgecorp.com,obstruction_zero_shot_regulator_role,../browser_history_output/thebridgecorp.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-215229,,False,False,False,False
unacast.com,obstruction_zero_shot_regulator_role,../browser_history_output/unacast.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-024241,Complete,False,False,False,False
theswarm.com,obstruction_zero_shot_regulator_role,../browser_history_output/theswarm.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-224653,,False,False,False,False
usadata.com,obstruction_zero_shot_regulator_role,../browser_history_output/usadata.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-040411,Complete,False,True,False,False
upscapital.com,obstruction_zero_shot_regulator_role,../browser_history_output/upscapital.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-033833,Complete,False,True,False,False
veraset.com,obstruction_zero_shot_regulator_role,../browser_history_output/veraset.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-063620,Complete,False,False,False,False
teamdms.com,obstruction_zero_shot_regulator_role,../browser_history_output/teamdms.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-204934,,False,False,False,False
trueopulence.com,obstruction_zero_shot_regulator_role,../browser_history_output/trueopulence.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-014303,,False,False,False,False
telesign.com,obstruction_zero_shot_regulator_role,../browser_history_output/telesign.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-210941,,False,False,False,False
usdatacorporation.com,obstruction_zero_shot_regulator_role,../browser_history_output/usdatacorporation.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-041457,Complete,False,True,False,False
techtarget.com,obstruction_zero_shot_regulator_role,../browser_history_output/techtarget.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-210205,,False,False,False,False
triplelift.com,obstruction_zero_shot_regulator_role,../browser_history_output/triplelift.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-003743,,False,False,False,False
uplead.com,obstruction_zero_shot_regulator_role,../browser_history_output/uplead.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-033049,Complete,False,False,False,False
statara.com,obstruction_zero_shot_regulator_role,../browser_history_output/statara.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-184907,,False,True,False,False
veeva.com,obstruction_zero_shot_regulator_role,../browser_history_output/veeva.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-044610,Complete,False,True,False,False
usmarketinggrp.com,obstruction_zero_shot_regulator_role,../browser_history_output/usmarketinggrp.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-042330,Complete,False,False,False,False
trestleiq.com,obstruction_zero_shot_regulator_role,../browser_history_output/trestleiq.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-002757,,False,False,False,False
ventiveiq.com,obstruction_zero_shot_regulator_role,../browser_history_output/ventiveiq.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-061816,Complete,False,True,False,False
taboola.com,obstruction_zero_shot_regulator_role,../browser_history_output/taboola.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-202617,,False,False,True,True
thedatatrust.com,obstruction_zero_shot_regulator_role,../browser_history_output/thedatatrust.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-224001,,False,False,False,False
truedata.co,obstruction_zero_shot_regulator_role,../browser_history_output/truedata.co/obstruction_zero_shot_regulator_role/gpt-5/20251115-012133,,False,False,False,False
stackadapt.com,obstruction_baseline_zero_shot,../browser_history_output/stackadapt.com/obstruction_baseline_zero_shot/gpt-5/20251114-221535,,False,False,False,False
trueblueanalytics.org,obstruction_baseline_zero_shot,../browser_history_output/trueblueanalytics.org/obstruction_baseline_zero_shot/gpt-5/20251115-051946,,False,False,False,False
transunion.com,obstruction_baseline_zero_shot,../browser_history_output/transunion.com/obstruction_baseline_zero_shot/gpt-5/20251115-044349,,False,False,False,False
trueopulence.com,obstruction_baseline_zero_shot,../browser_history_output/trueopulence.com/obstruction_baseline_zero_shot/gpt-5/20251115-054010,,False,False,False,False
techtarget.com,obstruction_baseline_zero_shot,../browser_history_output/techtarget.com/obstruction_baseline_zero_shot/gpt-5/20251115-015023,,False,False,False,False
thomsonreuters.com,obstruction_baseline_zero_shot,../browser_history_output/thomsonreuters.com/obstruction_baseline_zero_shot/gpt-5/20251115-040044,,False,False,False,False
unearthcampaigns.com,obstruction_baseline_zero_shot,../browser_history_output/unearthcampaigns.com/obstruction_baseline_zero_shot/gpt-5/20251115-165550,Complete,False,False,False,False
usmarketinggrp.com,obstruction_baseline_zero_shot,../browser_history_output/usmarketinggrp.com/obstruction_baseline_zero_shot/gpt-5/20251115-181028,Complete,False,False,False,False
sterling.ai,obstruction_baseline_zero_shot,../browser_history_output/sterling.ai/obstruction_baseline_zero_shot/gpt-5/20251114-233310,Complete,False,False,False,False
spyfly.com,obstruction_baseline_zero_shot,../browser_history_output/spyfly.com/obstruction_baseline_zero_shot/gpt-5/20251114-220449,,False,False,False,False
unmask.com,obstruction_baseline_zero_shot,../browser_history_output/unmask.com/obstruction_baseline_zero_shot/gpt-5/20251115-171203,Complete,False,False,False,False
steppingblocks.com,obstruction_baseline_zero_shot,../browser_history_output/steppingblocks.com/obstruction_baseline_zero_shot/gpt-5/20251114-232322,,False,False,False,False
truedata.co,obstruction_baseline_zero_shot,../browser_history_output/truedata.co/obstruction_baseline_zero_shot/gpt-5/20251115-053237,,False,False,False,False
veeva.com,obstruction_baseline_zero_shot,../browser_history_output/veeva.com/obstruction_baseline_zero_shot/gpt-5/20251115-183318,Complete,False,True,False,False
