Unnamed: 0,data_broker,prompting_strategy,status,pattern_name,Y_classification_1,Y_explanation_1,C_classification_1,C_explanation_1,Y_classification_2,Y_explanation_2,C_classification_2,C_explanation_2
0,spyfly.com,obstruction_regulator_role_few_shot_scenarios,not found,Adding Steps,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
1,spyfly.com,sneaking_regulator_role_few_shot_scenarios,not found,Information Without Context,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
2,spyfly.com,interface_interference_few_shot_regulator_role_with_CoT,not found,Visual Prominence,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
3,stackadapt.com,obstruction_baseline_zero_shot,found,Adding Steps,Incorrect,Unsure,Correct,Correct,Incorrect,Unsure,Correct,Correct
4,stackadapt.com,sneaking_baseline_zero_shot,not found,Conflicting Information,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
5,stackadapt.com,sneaking_baseline_zero_shot,not found,Information Without Context,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
6,statara.com,obstruction_zero_shot_regulator_role,found,Creating Barriers,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
7,statara.com,obstruction_baseline_zero_shot,not found,Privacy Mazes,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
8,statara.com,interface_interference_baseline_zero_shot,not found,Visual Prominence,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
9,statsocial.com,sneaking_few_shot_regulator_role_with_CoT,not found,Conflicting Information,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
10,steppingblocks.com,obstruction_zero_shot_regulator_role,found,Adding Steps,Unsure,Unsure,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
11,steppingblocks.com,obstruction_zero_shot_regulator_role,found,Creating Barriers,Correct,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
12,steppingblocks.com,interface_interference_baseline_zero_shot,not found,Visual Prominence,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
13,sterling.ai,obstruction_baseline_zero_shot,found,Creating Barriers,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
14,sterling.ai,interface_interference_baseline_zero_shot,found,Feedforward Ambiguity,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
15,sterling.ai,interface_interference_baseline_zero_shot,not found,Hidden Information,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Incorrect,Incorrect
16,sterling.ai,interface_interference_baseline_zero_shot,found,Visual Prominence,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect
17,stirista.com,obstruction_few_shot_regulator_role_with_CoT,not found,Adding Steps,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
