pattern_name,data_broker,time_stamp,status,file_path,is_successful,blocked,block_category
Hidden Information,brooksim.com,20260213-055203,not found,../../browser_history_output/brooksim.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-055203,True,False,no_blocking
Visual Prominence,brooksim.com,20260213-055203,found,../../browser_history_output/brooksim.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-055203,True,False,no_blocking
Feedforward Ambiguity,brooksim.com,20260213-055203,found,../../browser_history_output/brooksim.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-055203,True,False,no_blocking
Dead Ends,brooksim.com,20260207-090819,not found,../../browser_history_output/brooksim.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-090819,True,False,no_blocking
Creating Barriers,brooksim.com,20260207-090819,not found,../../browser_history_output/brooksim.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-090819,True,False,no_blocking
Adding Steps,brooksim.com,20260207-090819,not found,../../browser_history_output/brooksim.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-090819,True,False,no_blocking
Privacy Mazes,brooksim.com,20260207-090819,not found,../../browser_history_output/brooksim.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-090819,True,False,no_blocking
Conflicting Information,brooksim.com,20260212-163318,found,../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
Information Without Context,brooksim.com,20260212-163318,found,../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
Forced Registration,brooksim.com,20260212-163318,not found,../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
Bad Defaults,brooksim.com,20260212-163318,not found,../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
Choice Overload,brooksim.com,20260212-163318,not found,../../browser_history_output/brooksim.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-163318,True,False,no_blocking
Hidden Information,dealerx.com,20260213-185134,not found,../../browser_history_output/dealerx.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-185134,True,False,no_blocking
Visual Prominence,dealerx.com,20260213-185134,not found,../../browser_history_output/dealerx.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-185134,True,False,no_blocking
Feedforward Ambiguity,dealerx.com,20260213-185134,not found,../../browser_history_output/dealerx.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-185134,True,False,no_blocking
Dead Ends,dealerx.com,20260207-230549,not found,../../browser_history_output/dealerx.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-230549,True,False,no_blocking
Creating Barriers,dealerx.com,20260207-230549,found,../../browser_history_output/dealerx.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-230549,True,False,no_blocking
Adding Steps,dealerx.com,20260207-230549,not found,../../browser_history_output/dealerx.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-230549,True,False,no_blocking
Privacy Mazes,dealerx.com,20260207-230549,not found,../../browser_history_output/dealerx.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-230549,True,False,no_blocking
Conflicting Information,dealerx.com,20260213-060144,not found,../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
Information Without Context,dealerx.com,20260213-060144,not found,../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
