annotation_id,annotator,comments,confidence,created_at,data_broker,evidence,explanation_accuracy_percent,explanation_verification,file_path,id,lead_time,model,pattern_name,problems,prompting_strategy,rationale,review_status,status,task_completion,time_stamp,updated_at,verification
542,1,I agree with the rationale. ,0.86,2025-11-16T05:26:34.777010Z,stirista.com,"Evidence Items:
1. Evidence #1
  • page_url: https://unsubscribe.stirista.com/
  • evidence_type: ui_behavior
  • raw_snippet: Residents of Colorado, Connecticut, Delaware, Indiana, Iowa, Kentucky, Maryland, Minnesota, Montana, Nebraska, Nevada, New Hampshire, New Jersey, Oregon, Rhode Island, Tennessee, Texas, Utah, Virginia
have privacy rights under state-specific laws. If you are a resident of one of those states, you may use this webform to exercise your rights to delete personal information about you and/or opt out of certain processing.
  • observed_ui_text: The webform explicitly scopes eligibility to a list of states that does not include California, thereby preventing California residents from using the form.
  • action_taken: Reviewed the top explanatory text on the unsubscribe webform.
  • dynamic_outcome: No Right of Access or California-specific option appeared; the form sections only support deletion, mobile opt-out, and selling/sharing opt-out.

2. Evidence #2
  • page_url: https://unsubscribe.stirista.com/
  • evidence_type: ui_behavior
  • raw_snippet: Data Inquiry/3rd-Party Selling or Sharing of PI
To opt out of any future third-party selling or sharing of your personal information, please enter your email and inquiry description below, then click ""Submit"".
  • observed_ui_text: No request-type selector or 'Right to Know/Access' option is provided, forcing users to guess if this section can be used for access requests.
  • action_taken: Inspected all sections and labels of the webform.
  • dynamic_outcome: Form does not reveal any access request options even after scanning; only opt-out related flows exist.",,Incorrect,../browser_history_output/stirista.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-195308,917,43.246,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,California consumers cannot use the presented webform to exercise Right of Access and there is no request-type selection for access; this complicates and prevents the expected task.,,found,,20251114-195308,2025-11-16T05:26:34.777030Z,Incorrect
537,1,"{""text"":[""Does evidence #1 (consent) count as dark pattern?"",""I don't think evidence #2 (need follow-up email) count as dark pattern.""]}",0.78,2025-11-16T04:53:30.217753Z,steppingblocks.com,"Evidence Items:
1. Evidence #1
  • page_url: https://www.steppingblocks.com/personal-information-inquiry
  • evidence_type: ui_behavior
  • raw_snippet: I have read and agree to the Terms of Use and Privacy Policy.
  • observed_ui_text: Agreement to Terms of Use and Privacy Policy is bundled into a required certification checkbox to proceed with a statutory privacy request.
  • action_taken: Reviewed visible certification statement and required checkbox on the webform.
  • dynamic_outcome: Form cannot be submitted without checking the agreement checkbox.

2. Evidence #2
  • page_url: https://www.steppingblocks.com/personal-information-inquiry
  • evidence_type: policy_text
  • raw_snippet: In order to complete this process, we are required to verify your request. Please provide your name and email for verification. Additional instructions will be emailed to you.
  • observed_ui_text: Instead of allowing the user to specify the Right to Know/Access within the form, the site requires an extra off-form email step.
  • action_taken: Captured the instruction text at top of the Data Privacy Request form.
  • dynamic_outcome: User must await emailed instructions to proceed with the request.",,Unsure,../browser_history_output/steppingblocks.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-193405,921,470.154,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,Requiring agreement to Terms/Privacy to proceed and deferring the actual request to a later email exchange complicates the task and can discourage completion.,,found,Complete,20251114-193405,2025-11-28T07:08:46.248554Z,Incorrect
740,1,I don't think a follow up email count as adding steps.,0.82,2025-11-17T00:12:15.249210Z,steppingblocks.com,"Evidence Items:
1. Evidence #1
  • page_url: https://www.steppingblocks.com/personal-information-inquiry
  • evidence_type: policy_text
  • raw_snippet: Additional instructions will be emailed to you.
  • observed_ui_text: The form collects only basic identity data and pushes the substantive request to a separate, later email interaction.
  • action_taken: Reviewed the instruction copy at top of the webform.
  • dynamic_outcome: The user must perform additional steps via email rather than completing the request in one online flow.",,Incorrect,../browser_history_output/steppingblocks.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-193405,922,35.08,gpt-5,Adding Steps,,obstruction_zero_shot_regulator_role,The interface introduces an unnecessary follow-up step via email instead of allowing users to complete the Right of Access request within the form.,,found,Complete,20251114-193405,2025-11-17T00:12:15.249232Z,Incorrect
794,1,"1. Evidence #1: does 'expand an accordion', I don't think it count as dark pattern
2. Evidence #2: Should classify as conflicting information. ",0.7,2025-11-17T04:16:12.090950Z,swoop.com,"Evidence Items:
1. Evidence #1
  • page_url: https://swoop.com/privacy-notice/
  • evidence_type: ui_behavior
  • raw_snippet: Your Privacy Rights and Choices
  • observed_ui_text: Rights instructions are hidden behind an accordion that must be expanded to see submission methods.
  • action_taken: Clicked the 'Your Privacy Rights and Choices' accordion to reveal content.
  • dynamic_outcome: User must perform additional UI interactions to see basic submission options.

2. Evidence #2
  • page_url: https://swoop.com/privacy-notice/
  • evidence_type: interaction_obstacle
  • raw_snippet: Click
here
  • observed_ui_text: User follows a link purporting to handle rights, then must backtrack upon discovering it only handles opt-out.
  • action_taken: Clicked 'here' then evaluated the destination; returned to policy for alternative methods.
  • dynamic_outcome: Extra navigation steps are required to figure out the correct method for access.",,Unsure,../browser_history_output/swoop.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-200529,942,525.585,gpt-5,Adding Steps,,obstruction_zero_shot_regulator_role,The need to expand an accordion for core instructions and the misleading link that requires additional navigation to identify the correct submission path add unnecessary steps to the access task.,,found,Complete,20251114-200529,2025-11-30T05:49:36.233131Z,Incorrect
837,1,,0.82,2025-11-17T06:10:36.543326Z,unearthcampaigns.com,"Evidence Items:
1. Evidence #1
  • page_url: https://www.unearthcampaigns.com/right-to-know/
  • evidence_type: ui_behavior
  • raw_snippet: LinkedIn Profile (Required)
  • observed_ui_text: The form requires a LinkedIn Profile field to submit a Right to Know request.
  • action_taken: Selected 'Request to Know' and reviewed required field labels and HTML attributes.
  • dynamic_outcome: Field is marked required in UI and via required attribute; form cannot be completed without it.

2. Evidence #2
  • page_url: https://www.unearthcampaigns.com/right-to-know/
  • evidence_type: policy_text
  • raw_snippet: All requests available on this form are subject to our ability to reasonably verify your identity. If we locate your information in our records, we will ask you to email us from the email account for which you are requesting information.
  • observed_ui_text: Beyond submitting the form with numerous required fields, users are told they must later email from the same account for verification.
  • action_taken: Read the instructional text at the top of the Right-to-Know form.
  • dynamic_outcome: Indicates an added verification channel (email) after form completion.",,Correct,../browser_history_output/unearthcampaigns.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-025457,945,15.931,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,"Requiring a LinkedIn Profile is not a standard or reasonably necessary identifier for verifying a consumer under CCPA and introduces unnecessary burden; additionally, conditioning completion on a later email from the same account further complicates access.",,found,Complete,20251115-025457,2025-11-17T06:10:36.543348Z,Correct
841,1,,0.7,2025-11-17T06:12:24.481454Z,upscapital.com,"Evidence Items:
1. Evidence #1
  • page_url: https://privacyportal.onetrust.com/webform/cff9470e-ab7d-4e8a-8a45-14391b299f19/f3f16aeb-9070-4a81-816c-7b20e5ebd65a
  • evidence_type: ui_behavior
  • raw_snippet: * Country
* State
* I am a (an)
* First Name
* Last Name
* Email
Select request type
Retype the CAPTCHA code from the image
  • observed_ui_text: Form fields and labels are plainly presented; core required fields are marked with asterisks and request type options include 'Right to Access'.
  • action_taken: Reviewed the visible fields and labels on the webform.
  • dynamic_outcome: No unnecessary blockers beyond standard fields; form appears usable without requiring account numbers or tracking numbers.",,Incorrect,../browser_history_output/upscapital.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-033833,969,19.635,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,The interface supports the user task with clear fields and labels; no behaviors were observed that prevented or complicated the task beyond standard identity and request details.,,not found,Complete,20251115-033833,2025-11-17T06:13:14.267803Z,Incorrect
845,1,Should classify as conflicting information. Classification inaccurate.,0.69,2025-11-17T06:16:35.489262Z,usdatacorporation.com,"Evidence Items:
1. Evidence #1
  • page_url: https://www.usdatacorporation.com/do-not-sell-my-info/
  • evidence_type: policy_text
  • raw_snippet: California residents may exercise their rights under CCPA by contacting us through any of these methods:
1. By calling our toll-free number: (888) 578-3282
2. By visiting our website: https://www.usdatacorporation.com/opt-out
  • observed_ui_text: The entry point for exercising all CCPA rights, including access, directs users to a page labeled ""Opt-Out,"" which semantically suggests a different right (sale/sharing) rather than Right of Access.
  • action_taken: Reviewed the Do Not Sell page heading and submission instructions.
  • dynamic_outcome: User is routed to a page titled ""Opt-Out"" to submit an access request.

2. Evidence #2
  • page_url: https://www.usdatacorporation.com/opt-out
  • evidence_type: ui_behavior
  • raw_snippet: None
  • observed_ui_text: On the Opt-Out page, the embedded form includes a radio option labeled along the lines of ""I request data access to all my personal information that US Data Corporation has on file,"" despite the page being titled ""Opt-Out.""
  • action_taken: Opened the /opt-out page and inspected the form within the iframe.
  • dynamic_outcome: Access request is placed under an ""Opt-Out"" page rather than a clearly labeled ""Access/Right to Know"" page.",,Unsure,../browser_history_output/usdatacorporation.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-041457,989,82.151,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,"Routing Right of Access requests through a page labeled ""Opt-Out"" can confuse users and complicate the expected task flow for access requests, thereby subverting expectations and creating friction in exercising the right.",,found,Complete,20251115-041457,2025-11-28T08:13:55.554669Z,Incorrect
521,1,"Evidence #4 is correct. Even i'm not counting as 'creating barriers', but okay for this case.",0.78,2025-11-16T04:06:35.020090Z,statara.com,"Evidence Items:
1. Evidence #1
  • page_url: https://statara.com/consumerdeletion/#gf_16
  • evidence_type: policy_text
  • raw_snippet: Information required for Consumer Right Fulfillment — THIS INFORMATION IS REQUIRED TO FACILITATE YOUR REQUEST
  • observed_ui_text: The page asserts that all information is required to proceed, signaling broad mandatory data collection.
  • action_taken: Reviewed the instructions above the form on Step 1.
  • dynamic_outcome: User must provide extensive personal information before proceeding.

2. Evidence #2
  • page_url: https://statara.com/consumerdeletion/#gf_16
  • evidence_type: policy_text
  • raw_snippet: Statara needs all the personal information requested in the form below to process your request. ... Not completing the form or not providing any requested information may delay your request or make it impossible for you to be identified in our systems.
  • observed_ui_text: Statement pressures the user to provide all fields (including full postal address and phone) even for an access request.
  • action_taken: Read Step 1 explanatory text.
  • dynamic_outcome: Numerous fields presented with required UI cues (name, address, email, phone, consent).

3. Evidence #3
  • page_url: https://statara.com/privacy-policy/
  • evidence_type: policy_text
  • raw_snippet: STATARA ONLY ACCEPTS REQUESTS FOR ACTION ON CONSUMER PRIVACY INFORMATION VIA THE PROCESS DESCRIBED IN THE STATARA PRIVACY CENTER (HTTPS://STATARA.COM/STATARA-PRIVACY-CENTER/) OR VIA PHONE AT 888-678-6880. STATARA DOES NOT ACCEPT ANY PRIVACY RIGHTS REQUESTS VIA ANY E-MAIL SUBMISSION.
  • observed_ui_text: Explicit refusal to accept requests via email removes a typically low-friction method, potentially increasing burden.
  • action_taken: Reviewed the Exercising Your Rights section of the Privacy Policy.
  • dynamic_outcome: User must use webform or phone only.

4. Evidence #4
  • page_url: https://statara.com/privacy-policy/
  • evidence_type: policy_text
  • raw_snippet: Phoning us at 888-678-6880.
  • observed_ui_text: Privacy Policy lists a phone number that differs from the phone number shown on the form page (1-888-207-8743), creating inconsistency.
  • action_taken: Compared phone numbers listed across pages.
  • dynamic_outcome: Conflicting contact numbers may cause confusion about the correct submission line.",,Incorrect,../browser_history_output/statara.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-184907,1005,194.386,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,"The process requires extensive personal data and consent before even selecting request type, restricts request channels to only webform/phone, and shows inconsistent phone numbers across pages—collectively increasing friction and confusion for exercising the access right.",,found,,20251114-184907,2025-11-16T04:06:35.020114Z,Incorrect
859,1,The rationale should classify as feedforward ambiguity. ,0.82,2025-11-17T06:36:42.755813Z,ventiveiq.com,"Evidence Items:
1. Evidence #1
  • page_url: https://privacyportal.privacypillar.com/dsar/form?orgid=0c31c814-ea86-461f-8ccb-294f05bc74c3&propid=cc95835d-7719-4336-b0c4-18146e5d000a&formid=4348f332-6917-4566-8c56-6fc9eb57097f&status=publish
  • evidence_type: ui_behavior
  • raw_snippet: Field: ""Select request type(s)"" [required]. Options observed include: ""Data Processing"", ""Data Portability"", ""Opt out"", ""Update Data"", ""Info Request"", ""Data Deletion"". No explicit ""Right to Know"" or ""Access Data"" option.
  • observed_ui_text: Required request-type selection lacks an explicit CCPA Right of Access/Right to Know choice, forcing consumers to guess (e.g., select ""Info Request"").
  • action_taken: Opened DSAR form and enumerated request-type options.
  • dynamic_outcome: User cannot directly select the Right of Access; must infer which option applies.

2. Evidence #2
  • page_url: https://ventiveiq.com/website-privacy-policy/
  • evidence_type: policy_text
  • raw_snippet: Exact quoted sentences mentioning California / CCPA / CPRA / Right to Know / Right of Access: ""No mentions found on this page.""
  • observed_ui_text: Website Privacy Policy omits any Right of Access guidance while discussing contact methods, creating ambiguity about how to exercise that right from this page.
  • action_taken: Reviewed Website Privacy Policy for rights language.
  • dynamic_outcome: User must navigate elsewhere to identify the correct right and method.",,Unsure,../browser_history_output/ventiveiq.com/obstruction_zero_shot_regulator_role/gpt-5/20251115-061816,1021,442.001,gpt-5,Creating Barriers,,obstruction_zero_shot_regulator_role,"The DSAR form’s required request-type control does not provide a clear Right of Access choice, complicating a core task; additionally, the Website Privacy Policy page omits Right of Access guidance, adding ambiguity.",,found,Complete,20251115-061816,2025-11-28T08:37:50.463178Z,Correct
650,1,,0.9,2025-11-16T20:02:25.127643Z,stackadapt.com,"Evidence Items:
1. Evidence #1
  • page_url: https://www.stackadapt.com/legal-document-centre/consumer-rights-web-form
  • evidence_type: ui_behavior
  • raw_snippet: Cookies contain a unique ID which is a string of characters that’s assigned to your browser. Right click in your browser window and select “Inspect”. Go to the Application tab, select Cookies, and click on ‘sa-user-id’ in the list. The Cookie Value is your unique ID.
  • observed_ui_text: The process requires multiple extra steps to extract a Cookie ID unrelated to the core of an access request.
  • action_taken: Reviewed the Cookie ID instructions on the webform
  • dynamic_outcome: Cookie ID input is required to submit the request",,Correct,../browser_history_output/stackadapt.com/obstruction_baseline_zero_shot/gpt-5/20251114-221535,1042,24.472,gpt-5,Adding Steps,,obstruction_baseline_zero_shot,The mandatory Cookie ID requirement adds unnecessary steps beyond what is technologically needed to verify identity for a CCPA access request.,,found,Complete,20251114-221535,2025-11-16T20:02:25.127665Z,Correct
