data_broker,model,prompting_strategy,combined_prompting_strategy,pattern_name,status,task_completion,classification_accuracy,explanation_accuracy,is_correct_classification,model_found,actual_found,verification
tunnldata.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy text and Privacy Center content successfully extracted; no CAPTCHA or bot checks encountered.', 'details': None}"
tunnldata.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy text and Privacy Center content successfully extracted; no CAPTCHA or bot checks encountered.', 'details': None}"
tunnldata.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy text and Privacy Center content successfully extracted; no CAPTCHA or bot checks encountered.', 'details': None}"
truepeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
truepeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
truepeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
uspeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""Policy sections 8 and 14 contained explicit links and email; Contact Form fields were visible with no 'required' attributes observed."", 'details': None}"
uspeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""Policy sections 8 and 14 contained explicit links and email; Contact Form fields were visible with no 'required' attributes observed."", 'details': None}"
uspeoplesearch.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""Policy sections 8 and 14 contained explicit links and email; Contact Form fields were visible with no 'required' attributes observed."", 'details': None}"
terminus.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy CCPA sections and DSR link were extracted; the form’s labels and required asterisks were read via DOM extraction.', 'details': 'Encountered non-security UI obstacles (modal, search overlay) but no bot checks or CAPTCHAs.'}"
terminus.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy CCPA sections and DSR link were extracted; the form’s labels and required asterisks were read via DOM extraction.', 'details': 'Encountered non-security UI obstacles (modal, search overlay) but no bot checks or CAPTCHAs.'}"
terminus.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy CCPA sections and DSR link were extracted; the form’s labels and required asterisks were read via DOM extraction.', 'details': 'Encountered non-security UI obstacles (modal, search overlay) but no bot checks or CAPTCHAs.'}"
start.io,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Extracted policy text from the California Consumer page; no dynamic blocks detected.', 'details': None}"
start.io,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Extracted policy text from the California Consumer page; no dynamic blocks detected.', 'details': None}"
start.io,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Extracted policy text from the California Consumer page; no dynamic blocks detected.', 'details': None}"
vendelux.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy page clearly lists the Privacy Center and email privacy@vendelux.com. Privacy Center form loaded with basic fields.', 'details': 'Several automation timeouts occurred during navigation; no CAPTCHA or access restrictions were encountered.'}"
vendelux.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy page clearly lists the Privacy Center and email privacy@vendelux.com. Privacy Center form loaded with basic fields.', 'details': 'Several automation timeouts occurred during navigation; no CAPTCHA or access restrictions were encountered.'}"
vendelux.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Policy page clearly lists the Privacy Center and email privacy@vendelux.com. Privacy Center form loaded with basic fields.', 'details': 'Several automation timeouts occurred during navigation; no CAPTCHA or access restrictions were encountered.'}"
truthfinder.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed anchor contents for Contact Information; Privacy Center showed a simple Right to Know form and expandable FAQ; no anti-bot blocks.', 'details': 'Some extraction attempts timed out due to tooling constraints on long pages; not due to site blocking.'}"
truthfinder.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed anchor contents for Contact Information; Privacy Center showed a simple Right to Know form and expandable FAQ; no anti-bot blocks.', 'details': 'Some extraction attempts timed out due to tooling constraints on long pages; not due to site blocking.'}"
truthfinder.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed anchor contents for Contact Information; Privacy Center showed a simple Right to Know form and expandable FAQ; no anti-bot blocks.', 'details': 'Some extraction attempts timed out due to tooling constraints on long pages; not due to site blocking.'}"
statsocial.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed Cloudflare Turnstile/recaptcha fields present on forms; earlier opt-out page showed a CF challenge iframe but interaction remained possible after reload.', 'details': 'Bot detection present but did not prevent inspection; not classified as a dark pattern per instructions.'}"
statsocial.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed Cloudflare Turnstile/recaptcha fields present on forms; earlier opt-out page showed a CF challenge iframe but interaction remained possible after reload.', 'details': 'Bot detection present but did not prevent inspection; not classified as a dark pattern per instructions.'}"
statsocial.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Observed Cloudflare Turnstile/recaptcha fields present on forms; earlier opt-out page showed a CF challenge iframe but interaction remained possible after reload.', 'details': 'Bot detection present but did not prevent inspection; not classified as a dark pattern per instructions.'}"
venpath.net,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Pages rendered and were extractable; no CAPTCHA or access block encountered.', 'details': None}"
venpath.net,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Pages rendered and were extractable; no CAPTCHA or access block encountered.', 'details': None}"
venpath.net,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Pages rendered and were extractable; no CAPTCHA or access block encountered.', 'details': None}"
thinkdatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy sections 13.c, 13.k, and related links extracted; opt-out form fields and required attributes observed in DOM via interactive element metadata.', 'details': 'No CAPTCHA or authentication encountered; some earlier timeouts during scrolling, but no access-blocking mechanisms.'}"
