"annotation_id","annotator","comments","confidence","created_at","data_broker","evidence","explanation_verification","file_path","ground_truth","id","lead_time","model","pattern_name","prompting_strategy","rationale","review_status","status","time_stamp","updated_at","verification"
32,"1","",0.62,"2026-02-23T17:57:49.105446Z","spyfly.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.spyfly.com/help-center/privacy-requests
  • evidence_type: ui_behavior
  • raw_snippet: None
  • observed_ui_text: Request Type includes an option 'Request a Copy' and the flow appears as a single consolidated request form rather than splitting access into multiple separate requests.
  • action_taken: Reviewed Request Type dropdown and form layout.
  • dynamic_outcome: No requirement to submit multiple separate requests for a single access right observed.","Correct","../browser_history_output/spyfly.com/obstruction_regulator_role_few_shot_scenarios/gpt-5/20251130-033119","No evidence found for this dark pattern as it clearly states ""Right to Know"" under the Request type rather than fragmenting it into multiple sub-requests.",1813,164.909,"gpt-5","Adding Steps","obstruction_regulator_role_few_shot_scenarios","No evidence that a single access right is fragmented into multiple required submissions or device/identifier-specific repeats.","OK","not found","20251130-033119","2026-02-23T17:57:49.105465Z","Correct"
33,"1","",0.7,"2026-02-23T18:00:14.533532Z","spyfly.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.spyfly.com/help-center/privacy
  • evidence_type: policy_text
  • raw_snippet: How to Submit a Request Under the CCPA
California residents that wish to exercise any of the above data rights under the CCPA may submit a request that specifies the right(s) they wish to invoke by completing the form here.
To process your request, We may require that you submit the following information in conjunction with your request: your first name, last name, order number, email address, and a California address.
  • observed_ui_text: The section is clearly labeled, provides a direct link to the request form, and lists the information that may be required, reducing ambiguity about where to act.
  • action_taken: Reviewed the California CCPA section and the immediate surrounding instructions and link placement.
  • dynamic_outcome: Clear linkage and context were present; the only obstacle encountered later was Cloudflare verification, which is not a dark pattern per instructions.","Correct","../browser_history_output/spyfly.com/sneaking_regulator_role_few_shot_scenarios/gpt-5/20260117-060037","No evidence found for this dark pattern as link is clearly found under CCPA rights and leads to a page with option to exercise ""Right to Know"".",1814,121.567,"gpt-5","Information Without Context","sneaking_regulator_role_few_shot_scenarios","The CCPA submission path is contextually presented with a clear section title and a direct link; although the webform page was blocked by Cloudflare, the instructions themselves are not vague, mislabeled, or out of context.","","not found","20260117-060037","2026-02-23T18:00:14.533552Z","Correct"
34,"1","",0.8,"2026-02-23T18:01:28.407559Z","spyfly.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.spyfly.com/help-center/privacy-requests
  • evidence_type: ui_behavior
  • raw_snippet: Help Center > Privacy Requests; form fields and 'Continue' button; FAQ below.
  • observed_ui_text: No floating overlays or promotional elements competed with the form; elements are standard and non-obstructive.
  • action_taken: Scrolled and inspected the page for overlays or attention-grabbing widgets.
  • dynamic_outcome: No distracting widgets overlapped or dominated the request UI.","Correct","../browser_history_output/spyfly.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260104-032504","No evidence found for this dark pattern as there were no distracting elements.",1815,43.063,"gpt-5","Visual Prominence","interface_interference_few_shot_regulator_role_with_CoT","No elements visually competed with the Right of Access process.","","not found","20260104-032504","2026-02-23T18:01:28.407583Z","Correct"
35,"1","{""text"":[""The webpage to exercise consumer rights using form requires users to submit just a single form per user (collecting IP address and cookie) both within the same request than separate requests. \""Adding Steps\"" definition doesn't include cases where user needs to find the identifiers as a requirement for \""Adding Steps\"". It includes only requirement to fill the form multiple times for each identifier as the qualifying case. "",""Shouldn't this be \""Creating Barriers\"" instead?""]}",0.9,"2026-02-23T18:34:42.526680Z","stackadapt.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.stackadapt.com/legal-document-centre/consumer-rights-web-form
  • evidence_type: ui_behavior
  • raw_snippet: Cookies contain a unique ID which is a string of characters that’s assigned to your browser. Right click in your browser window and select “Inspect”. Go to the Application tab, select Cookies, and click on ‘sa-user-id’ in the list. The Cookie Value is your unique ID.
  • observed_ui_text: The process requires multiple extra steps to extract a Cookie ID unrelated to the core of an access request.
  • action_taken: Reviewed the Cookie ID instructions on the webform
  • dynamic_outcome: Cookie ID input is required to submit the request","Unsure","../browser_history_output/stackadapt.com/obstruction_baseline_zero_shot/gpt-5/20251114-221535","No evidence found for this dark pattern",1816,631.437,"gpt-5","Adding Steps","obstruction_baseline_zero_shot","The mandatory Cookie ID requirement adds unnecessary steps beyond what is technologically needed to verify identity for a CCPA access request.","OK","found","20251114-221535","2026-02-23T19:03:26.553253Z","Incorrect"
36,"1","",0.85,"2026-02-23T18:43:45.332456Z","stackadapt.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.stackadapt.com/legal-document-centre/platform-and-services-privacy-policy
  • evidence_type: policy_text
  • raw_snippet: - Phone: (650) 999-3764 ext. 101
- Email: privacy@stackadapt.com
  • observed_ui_text: Policy lists consistent submission methods (email and phone) alongside the web form reference under rights section.
  • action_taken: Reviewed the Privacy Policy rights section and extracted contact methods.
  • dynamic_outcome: Submission methods appeared consistent across the policy and form.

2. Evidence #2
  • page_url: https://www.stackadapt.com/legal-document-centre/consumer-rights-web-form
  • evidence_type: ui_behavior
  • raw_snippet: Consumer Rights Web Form
First Name* ... Email Address* ... Country* ... State* ... Cookie ID* ... IP Address* ...
  • observed_ui_text: Form content clearly aligns with stated methods; no contradictory instructions about how to exercise access rights.
  • action_taken: Opened the web form and reviewed visible fields and instructions.
  • dynamic_outcome: No conflicts between form instructions and policy text were observed.","Correct","../browser_history_output/stackadapt.com/sneaking_baseline_zero_shot/gpt-5/20251211-231211","No evidence of the dark pattern found.",1817,380.031,"gpt-5","Conflicting Information","sneaking_baseline_zero_shot","The policy and the web form provide consistent instructions and contact channels; no contradictory statements about access rights or procedures were detected.","","not found","20251211-231211","2026-02-23T18:43:45.332469Z","Correct"
37,"1","",0.8,"2026-02-23T18:44:57.591671Z","stackadapt.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.stackadapt.com/legal-document-centre/consumer-rights-web-form
  • evidence_type: ui_behavior
  • raw_snippet: Cookies contain a unique ID ... click on ‘sa-user-id’ ... The Cookie Value is your unique ID.
Go to your “Wi-Fi Network” ... view your IP address.
  • observed_ui_text: The form provides contextual guidance on how to find the Cookie ID and IP Address, aiding discoverability.
  • action_taken: Reviewed helper text next to Cookie ID and IP Address fields.
  • dynamic_outcome: Helpful inline instructions visible; fields and Submit button are easy to find.

2. Evidence #2
  • page_url: https://www.stackadapt.com/legal-document-centre/platform-and-services-privacy-policy
  • evidence_type: policy_text
  • raw_snippet: ""Exercising Your Rights"" ... web form ... Phone: (650) 999-3764 ext. 101 ... Email: privacy@stackadapt.com
  • observed_ui_text: The policy includes clear ways to exercise rights and locate the form.
  • action_taken: Scrolled to 'Exercising Your Rights' and noted listed channels.
  • dynamic_outcome: Clear navigation path to the web form and contact methods.","Correct","../browser_history_output/stackadapt.com/sneaking_baseline_zero_shot/gpt-5/20251211-231211","No evidence of the dark pattern found.",1818,65.616,"gpt-5","Information Without Context","sneaking_baseline_zero_shot","Relevant controls and instructions for the Right of Access are discoverable and include contextual guidance; no obfuscation or hiding of controls was seen.","","not found","20251211-231211","2026-02-23T18:44:57.591688Z","Correct"
38,"1","",0.78,"2026-02-23T19:20:48.781495Z","statara.com","Evidence Items:
1. Evidence #1
  • page_url: https://statara.com/consumerdeletion/#gf_16
  • evidence_type: policy_text
  • raw_snippet: Information required for Consumer Right Fulfillment — THIS INFORMATION IS REQUIRED TO FACILITATE YOUR REQUEST
  • observed_ui_text: The page asserts that all information is required to proceed, signaling broad mandatory data collection.
  • action_taken: Reviewed the instructions above the form on Step 1.
  • dynamic_outcome: User must provide extensive personal information before proceeding.

2. Evidence #2
  • page_url: https://statara.com/consumerdeletion/#gf_16
  • evidence_type: policy_text
  • raw_snippet: Statara needs all the personal information requested in the form below to process your request. ... Not completing the form or not providing any requested information may delay your request or make it impossible for you to be identified in our systems.
  • observed_ui_text: Statement pressures the user to provide all fields (including full postal address and phone) even for an access request.
  • action_taken: Read Step 1 explanatory text.
  • dynamic_outcome: Numerous fields presented with required UI cues (name, address, email, phone, consent).

3. Evidence #3
  • page_url: https://statara.com/privacy-policy/
  • evidence_type: policy_text
  • raw_snippet: STATARA ONLY ACCEPTS REQUESTS FOR ACTION ON CONSUMER PRIVACY INFORMATION VIA THE PROCESS DESCRIBED IN THE STATARA PRIVACY CENTER (HTTPS://STATARA.COM/STATARA-PRIVACY-CENTER/) OR VIA PHONE AT 888-678-6880. STATARA DOES NOT ACCEPT ANY PRIVACY RIGHTS REQUESTS VIA ANY E-MAIL SUBMISSION.
  • observed_ui_text: Explicit refusal to accept requests via email removes a typically low-friction method, potentially increasing burden.
  • action_taken: Reviewed the Exercising Your Rights section of the Privacy Policy.
  • dynamic_outcome: User must use webform or phone only.

4. Evidence #4
  • page_url: https://statara.com/privacy-policy/
  • evidence_type: policy_text
  • raw_snippet: Phoning us at 888-678-6880.
  • observed_ui_text: Privacy Policy lists a phone number that differs from the phone number shown on the form page (1-888-207-8743), creating inconsistency.
  • action_taken: Compared phone numbers listed across pages.
  • dynamic_outcome: Conflicting contact numbers may cause confusion about the correct submission line.","Incorrect","../browser_history_output/statara.com/obstruction_zero_shot_regulator_role/gpt-5/20251114-184907","I did not find any creating barriers at least until the first page of the form to exercise access rights. I could not go onto the second page.",1819,626.674,"gpt-5","Creating Barriers","obstruction_zero_shot_regulator_role","The process requires extensive personal data and consent before even selecting request type, restricts request channels to only webform/phone, and shows inconsistent phone numbers across pages—collectively increasing friction and confusion for exercising the access right.","Need Discussion","found","20251114-184907","2026-02-23T19:20:48.781506Z","Incorrect"
43,"1","",0.8,"2026-02-23T20:18:58.895610Z","statara.com","Evidence Items:
1. Evidence #1
  • page_url: https://statara.com/privacy/
  • evidence_type: policy_text
  • raw_snippet: Exercising your Consumer Privacy Rights ... Consumers wishing to manage their personal data may choose from the options below.
  • observed_ui_text: Privacy Center summarizes rights with direct links to corresponding forms, including the consumer request form.
  • action_taken: Reviewed the Privacy Center sections and followed the link to the form.
  • dynamic_outcome: Direct navigation to the webform without having to traverse disconnected pages.","Correct","../browser_history_output/statara.com/obstruction_baseline_zero_shot/gpt-5/20251114-230946","Not found.",1820,19.037,"gpt-5","Privacy Mazes","obstruction_baseline_zero_shot","Information architecture provides a clear Privacy Center with direct, labeled links to actions; no fragmented or maze-like navigation required.","OK","not found","20251114-230946","2026-02-23T20:18:58.895646Z","Correct"
39,"1","",0.78,"2026-02-23T19:21:39.255450Z","statara.com","Evidence Items:
1. Evidence #1
  • page_url: https://statara.com/consumerdeletion/#gf_16
  • evidence_type: ui_behavior
  • raw_snippet: EXERCISING YOUR CONSUMER RIGHTS TO KNOW OR ACCESS, DELETE OR CORRECT ... While this online request is the easiest way to exercise these rights, requests also can be completed by phone at 1-888-207-8743.
  • observed_ui_text: The page contains the form and the phone number; no competing non-privacy elements attract disproportionate attention.
  • action_taken: Reviewed the form layout and surrounding text.
  • dynamic_outcome: No popups or distracting elements; standard two-step form.","Correct","../browser_history_output/statara.com/interface_interference_baseline_zero_shot/gpt-5/20251201-031537","No evidence of the dark pattern found.",1821,40.809,"gpt-5","Visual Prominence","interface_interference_baseline_zero_shot","The interface focuses on the rights request workflow without distracting elements that compete with the user’s goal.","","not found","20251201-031537","2026-02-23T19:21:39.255482Z","Correct"
44,"1","Access request form (https://www.statsocial.com/datarequest/) requires use to first submit email and then perform the right to access, suggesting ""adding steps"".",0.9,"2026-02-23T20:37:47.282556Z","statsocial.com","Evidence Items:
1. Evidence #1
  • page_url: https://www.statsocial.com/privacy-policy
  • evidence_type: policy_text
  • raw_snippet: California residents have the right to request that we disclose what categories of your personal information that we collect, use, or sell. You may exercise this right on our website [here](https://www.statsocial.com/datarequest) or by contacting us toll-free at 1 (800) 793-6855. You may also request the specific pieces of personal information that we have collected from you.
  • observed_ui_text: Policy clearly lists webform and phone methods for the Right to Access/Know.
  • action_taken: Scrolled to California section and extracted submission sentences.
  • dynamic_outcome: Submission paths listed matched the DSAR form capabilities.

2. Evidence #2
  • page_url: https://www.statsocial.com/datarequest
  • evidence_type: ui_behavior
  • raw_snippet: Please provide me with a list of categories of the personal information you have collected about me in the last 12 months.
Please provide me with the specific pieces of personal information you have collected about me in the last 12 months.
  • observed_ui_text: Form includes explicit options for categories and specific pieces, consistent with Right to Know/Access.
  • action_taken: Opened the DSAR form and reviewed available request-type checkboxes.
  • dynamic_outcome: Options align with policy-stated access rights.","Incorrect","../browser_history_output/statsocial.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260117-125052","Found. See explanation below:

Instance 1 under: ""11. Your Rights and Marketing Choices (and Notice of Your Right to Opt Out)""
````
The right to obtain a copy of Personal Information we have obtained about you in a portable and, to the extent technically feasible, readily usable format, which can be done on our website here (https://www.statsocial.com/datarequest/)
````

Instance 2 below the above heading (""Submitting Requests""):
```
Submitting Requests
If you are a resident of one of the above states you may submit any of the above requests by call us at 1 (800) 793-6855 or use the contact (https://www.statsocial.com/contact-us/) form available on our website. We will respond to your request in compliance with the requirements of your state’s applicable laws. Please note that we are only required to honor California requests to know twice in a 12-month period.
```

Hence, different links provided that navigate to different pages to exercise rights.

Also, no ""Addendum"" is mentioned and hyperlinked below as mentioned in the following:
```
(as to which a separate “Addendum” is provided below)
```",1822,625.307,"gpt-5","Conflicting Information","sneaking_few_shot_regulator_role_with_CoT","The Privacy Policy directs users to a DSAR webform and phone number for exercising access rights, and the DSAR form provides matching options for categories and specific pieces, indicating no contradiction between instruction and UI.","","not found","20260117-125052","2026-02-23T20:37:47.282576Z","Incorrect"
